Channel Name,Channel ID,YouTube URL,Theme,Tags,Favorite,Classification Basis,Needs Review
FAR MAROC,UCznXI4BkOD2eVNe4CqpRY-g,https://www.youtube.com/channel/UCznXI4BkOD2eVNe4CqpRY-g,Archive,,No,Inferred from the previous PocketTube collection,No
Nouhaila Hanguir,UCMPcfIghM8gYF4z0L0PTvTA,https://www.youtube.com/channel/UCMPcfIghM8gYF4z0L0PTvTA,Archive,,No,Inferred from the previous PocketTube collection,No
Unknown channel,UC8zcPIQGZMZfMh0Bgu7E2oA,https://www.youtube.com/channel/UC8zcPIQGZMZfMh0Bgu7E2oA,Archive,Archive,Yes,Needs review: channel metadata could not be resolved,Yes
Unknown channel,UCmAlw1XDI-pRS8ZsHCWnfcw,https://www.youtube.com/channel/UCmAlw1XDI-pRS8ZsHCWnfcw,Archive,Archive,Yes,Needs review: channel metadata could not be resolved,Yes
السرمدية,UCzjBmVYqAy4REq4ue1W_S7Q,https://www.youtube.com/channel/UCzjBmVYqAy4REq4ue1W_S7Q,Archive,,No,"Inferred from channel name, recent video titles, and collection context",No
برنامج الخزانة,UCpo2MvFPnWAOVeEIf3WlfGA,https://www.youtube.com/channel/UCpo2MvFPnWAOVeEIf3WlfGA,Archive,,No,"Inferred from channel name, recent video titles, and collection context",No
(Kindle مدرسة أبي الكنادل لل(كندل,UC8nG87IqCHm8fmPBmVlTxnQ,https://www.youtube.com/channel/UC8nG87IqCHm8fmPBmVlTxnQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
* e m m i e *,UCMFSTAyvpl_yBXmq6JPfhBQ,https://www.youtube.com/channel/UCMFSTAyvpl_yBXmq6JPfhBQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
A Clockwork Reader,UCYejuNiTTA3yCxVSOTyj7yA,https://www.youtube.com/channel/UCYejuNiTTA3yCxVSOTyj7yA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
A Dude Who Reads,UCjTFVRJfT7k3ISAVt3CR9IQ,https://www.youtube.com/channel/UCjTFVRJfT7k3ISAVt3CR9IQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Adab Book Club,UCRiTbNxQ65Mze9RanRBPvGw,https://www.youtube.com/channel/UCRiTbNxQ65Mze9RanRBPvGw,Books & Literature,Books; Reading; History,Yes,"Inferred from channel name, recent video titles, and collection context",No
ADIL EL JRAOUY / عادل الجراوي,UClbbcKyuVAAEnLzDZ1WhQew,https://www.youtube.com/channel/UClbbcKyuVAAEnLzDZ1WhQew,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Agenda,UCfM-_8CyuNyxcbcPNZMRa_g,https://www.youtube.com/channel/UCfM-_8CyuNyxcbcPNZMRa_g,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
AJ+ ساحة,UCEg4_mU2CqqtQxWwzL_uh-w,https://www.youtube.com/channel/UCEg4_mU2CqqtQxWwzL_uh-w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Alana Estelle,UCEFAdP5D3dL_KEoUy8Mb1oQ,https://www.youtube.com/channel/UCEFAdP5D3dL_KEoUy8Mb1oQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Ali Kanaan,UCczY0ZECzTutfZibV_7r8mw,https://www.youtube.com/channel/UCczY0ZECzTutfZibV_7r8mw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Ali Muhammad Ali,UChbuH4HULlesX_rzlozkT6Q,https://www.youtube.com/channel/UChbuH4HULlesX_rzlozkT6Q,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Amira Mahmoud,UCq6Ptq0Mrw6uS6vH8lIUgeQ,https://www.youtube.com/channel/UCq6Ptq0Mrw6uS6vH8lIUgeQ,Books & Literature,Books; Reading; History,Yes,"Inferred from channel name, recent video titles, and collection context",No
Amira Mourtaday - أميرة المرتضي,UC7qzY02V5mjwXU-CzJJ2JEQ,https://www.youtube.com/channel/UC7qzY02V5mjwXU-CzJJ2JEQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Areej | أريچ,UCD75bWTZy1wQaCwSRRbKUhw,https://www.youtube.com/channel/UCD75bWTZy1wQaCwSRRbKUhw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Ashlynn Calee,UCNKrw5ANbs6MF2gp5j3OUCA,https://www.youtube.com/channel/UCNKrw5ANbs6MF2gp5j3OUCA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Asma Sherb.,UCUGIE8s2R9vmjV2kds1-byA,https://www.youtube.com/channel/UCUGIE8s2R9vmjV2kds1-byA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
AUDIO BOOKS | ARABIC,UC12hbnAPey8KGUCpKpVKeEA,https://www.youtube.com/channel/UC12hbnAPey8KGUCpKpVKeEA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
AudioBookLibrary,UCxll_A3qyC6N2nkx0y_AH4Q,https://www.youtube.com/channel/UCxll_A3qyC6N2nkx0y_AH4Q,Books & Literature,,No,Inferred from the previous PocketTube collection,No
Aya Abassi,UCWUQQ1e6FXcb-dpmNirCVNw,https://www.youtube.com/channel/UCWUQQ1e6FXcb-dpmNirCVNw,Books & Literature,Books; Reading; Writing,Yes,"Inferred from channel name, recent video titles, and collection context",No
Ben Reads Good,UCYaEzF1HghMIPm7d226gjIQ,https://www.youtube.com/channel/UCYaEzF1HghMIPm7d226gjIQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
